Address,Award,Comments,Cuisine,FacilitiesAndServices,Hour,Location,Name,PhoneNumber,Price,Url,WebsiteUrl,_id,coord
"2 Wudaoying Hutong, Beijing, China Mainland",3,2066628,Vegetarian,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,Garden or park,JCB,Maestro,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Valet parking,Visa credit card,Wheelchair access",6,"Beijing, China Mainland","King's Joy",+861084049191,¥¥¥,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/king-s-joy,,63da3c3e3edd49a903f1624d,"[116.410004,39.946681]"
"1F, East Tower, Genesis Beijing, 8 Xinyuan South Road, Beijing, China Mainland",1,7049611,Taizhou,"Air conditioning,Car park,China UnionPay,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Visa credit card",12,"Beijing, China Mainland",Xin Rong Ji (Xinyuan South Road),+861065015501,¥¥¥¥,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/xin-rong-ji-xinyuan-south-road,,63da3c3e3edd49a903f1624e,"[116.450148,39.94638]"
"101-102, Building No. 1, Garden Office, No.161, Lane 465, Zhenning Road, Shanghai, China Mainland",0,4685492,Innovative,"Air conditioning,American Express credit card,Car park,China UnionPay,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card",18,"Shanghai, China Mainland",Taian Table,+8617301605350,¥¥¥¥,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/taian-table,https://taian-table.cn/,63da3c3e3edd49a903f1624f,"[121.474049,31.221807]"
"'somewhere in Shanghai' - meet at Mr & Mrs Bund restaurant - 6F, Bund 18, 18 Zhongshan Dong Yi Road, Shanghai, China Mainland",4,2489637,Innovative,"Air conditioning,American Express credit card,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",18,"Shanghai, China Mainland",Ultraviolet by Paul Pairet,,¥¥¥¥,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/ultraviolet-by-paul-pairet,https://uvbypp.cc/,63da3c3e3edd49a903f16250,"[121.48509,31.240358]"
"470 Pacific Ave., San Francisco, 94133, USA",1,163060,"Contemporary, Californian","Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access",3,"San Francisco, USA",Quince,+14157758500,$$$$,https://guide.michelin.com/en/california/san-francisco/restaurant/quince,http://www.quincerestaurant.com,63da3c3e3edd49a903f16251,"[-122.4032607,37.7975054]"
"3127 Fillmore St., San Francisco, 94123, USA",3,1633974,"Contemporary, French","Air conditioning,Credit card / Debit card accepted,Particularly interesting wine list,Wheelchair access",10,"San Francisco, USA",Atelier Crenn,+14154400460,$$$$,https://guide.michelin.com/en/california/san-francisco/restaurant/atelier-crenn,https://www.ateliercrenn.com/,63da3c3e3edd49a903f16252,"[-122.43586,37.79835]"
"5200 Grand Del Mar Way, San Diego, 92130, USA",4,6272058,"Contemporary, Californian","Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Particularly interesting wine list,Terrace,Valet parking,Visa credit card,Wheelchair access",3,"San Diego, USA",Addison,+18583141900,$$$$,https://guide.michelin.com/en/california/us-san-diego/restaurant/addison,https://www.addisondelmar.com/,63da3c3e3edd49a903f16253,"[-117.1988908,32.9412972]"
"320 Village Ln., Los Gatos, 95030, USA",2,6995798,"Contemporary, Californian","Air conditioning,Credit card / Debit card accepted,Particularly interesting wine list,Wheelchair access",10,"Los Gatos, USA",Manresa,+14083544330,$$$$,https://guide.michelin.com/en/california/los-gatos/restaurant/manresa,https://www.manresarestaurant.com/,63da3c3e3edd49a903f16254,"[-121.98071,37.22761]"
"22 Hawthorne St., San Francisco, 94105, USA",2,7985987,"Asian, Contemporary","Air conditioning,Credit card / Debit card accepted,Valet parking,Wheelchair access",11,"San Francisco, USA",Benu,+14156854860,$$$$,https://guide.michelin.com/en/california/san-francisco/restaurant/benu,https://www.benusf.com/,63da3c3e3edd49a903f16255,"[-122.3990601,37.7853763]"
"131 North St., Healdsburg, 95448, USA",4,6011746,"Contemporary, Californian","Air conditioning,Credit card / Debit card accepted,Particularly interesting wine list,Wheelchair access",9,"Healdsburg, USA",SingleThread,+17077234646,$$$$,https://guide.michelin.com/en/california/healdsburg/restaurant/singlethread,https://www.singlethreadfarms.com/,63da3c3e3edd49a903f16256,"[-122.8697229,38.6122599]"
"6640 Washington St., Yountville, 94599, USA",3,8520864,"Contemporary, French","Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access",0,"Yountville, USA",The French Laundry,+17079442380,$$$$,https://guide.michelin.com/en/california/yountville/restaurant/the-french-laundry,https://www.thomaskeller.com/tfl,63da3c3e3edd49a903f16257,"[-122.36474,38.40443]"
"Mallorca 259, Barcelona, 08008, Spain",2,6086542,Creative,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",6,"Barcelona, Spain",Lasarte,+34934453242,€€€€,https://guide.michelin.com/en/catalunya/barcelona/restaurant/lasarte,https://www.restaurantlasarte.com/,63da3c3e3edd49a903f16258,"[2.1622018,41.3936278]"
