_id,Name,Address,Location,Price,Cuisine,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,Hour,coord,Comments
ObjectId(63da3c3e3edd49a903f1624d),King's Joy,"2 Wudaoying Hutong, Beijing, China Mainland","Beijing, China Mainland",¥¥¥,Vegetarian,+861084049191,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/king-s-joy,,3,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,Garden or park,JCB,Maestro,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Valet parking,Visa credit card,Wheelchair access",6,"[116.410004,39.946681]",2.066628e+06
ObjectId(63da3c3e3edd49a903f1624e),Xin Rong Ji (Xinyuan South Road),"1F, East Tower, Genesis Beijing, 8 Xinyuan South Road, Beijing, China Mainland","Beijing, China Mainland",¥¥¥¥,Taizhou,+861065015501,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/xin-rong-ji-xinyuan-south-road,,1,"Air conditioning,Car park,China UnionPay,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Visa credit card",12,"[116.450148,39.94638]",7.049611e+06
ObjectId(63da3c3e3edd49a903f1624f),Taian Table,"101-102, Building No. 1, Garden Office, No.161, Lane 465, Zhenning Road, Shanghai, China Mainland","Shanghai, China Mainland",¥¥¥¥,Innovative,+8617301605350,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/taian-table,https://taian-table.cn/,0,"Air conditioning,American Express credit card,Car park,China UnionPay,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card",18,"[121.474049,31.221807]",4.685492e+06
ObjectId(63da3c3e3edd49a903f16250),Ultraviolet by Paul Pairet,"'somewhere in Shanghai' - meet at Mr & Mrs Bund restaurant - 6F, Bund 18, 18 Zhongshan Dong Yi Road, Shanghai, China Mainland","Shanghai, China Mainland",¥¥¥¥,Innovative,,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/ultraviolet-by-paul-pairet,https://uvbypp.cc/,4,"Air conditioning,American Express credit card,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",18,"[121.48509,31.240358]",2.489637e+06
ObjectId(63da3c3e3edd49a903f16251),Quince,"470 Pacific Ave., San Francisco, 94133, USA","San Francisco, USA",$$$$,"Contemporary, Californian",+14157758500,https://guide.michelin.com/en/california/san-francisco/restaurant/quince,http://www.quincerestaurant.com,1,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access",3,"[-122.4032607,37.7975054]",163060
ObjectId(63da3c3e3edd49a903f16252),Atelier Crenn,"3127 Fillmore St., San Francisco, 94123, USA","San Francisco, USA",$$$$,"Contemporary, French",+14154400460,https://guide.michelin.com/en/california/san-francisco/restaurant/atelier-crenn,https://www.ateliercrenn.com/,3,"Air conditioning,Credit card / Debit card accepted,Particularly interesting wine list,Wheelchair access",10,"[-122.43586,37.79835]",1.633974e+06
ObjectId(63da3c3e3edd49a903f16253),Addison,"5200 Grand Del Mar Way, San Diego, 92130, USA","San Diego, USA",$$$$,"Contemporary, Californian",+18583141900,https://guide.michelin.com/en/california/us-san-diego/restaurant/addison,https://www.addisondelmar.com/,4,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Particularly interesting wine list,Terrace,Valet parking,Visa credit card,Wheelchair access",3,"[-117.1988908,32.9412972]",6.272058e+06
ObjectId(63da3c3e3edd49a903f16254),Manresa,"320 Village Ln., Los Gatos, 95030, USA","Los Gatos, USA",$$$$,"Contemporary, Californian",+14083544330,https://guide.michelin.com/en/california/los-gatos/restaurant/manresa,https://www.manresarestaurant.com/,2,"Air conditioning,Credit card / Debit card accepted,Particularly interesting wine list,Wheelchair access",10,"[-121.98071,37.22761]",6.995798e+06
ObjectId(63da3c3e3edd49a903f16255),Benu,"22 Hawthorne St., San Francisco, 94105, USA","San Francisco, USA",$$$$,"Asian, Contemporary",+14156854860,https://guide.michelin.com/en/california/san-francisco/restaurant/benu,https://www.benusf.com/,2,"Air conditioning,Credit card / Debit card accepted,Valet parking,Wheelchair access",11,"[-122.3990601,37.7853763]",7.985987e+06
ObjectId(63da3c3e3edd49a903f16256),SingleThread,"131 North St., Healdsburg, 95448, USA","Healdsburg, USA",$$$$,"Contemporary, Californian",+17077234646,https://guide.michelin.com/en/california/healdsburg/restaurant/singlethread,https://www.singlethreadfarms.com/,4,"Air conditioning,Credit card / Debit card accepted,Particularly interesting wine list,Wheelchair access",9,"[-122.8697229,38.6122599]",6.011746e+06
